population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,latitude,longitude
belem_1,xsFRC041,0,32,0,0.0,1.0,0.0,-3.704,-48.563
belem_10,xsTP51965,0,32,0,0.0,1.0,0.0,-2.835,-47.915
belem_2,xsGUR156,0,32,0,0.0,1.0,0.0,-3.704,-46.762
belem_3,xsLCA23,0,32,0,0.0,1.0,0.0,-1.75,-48.8
belem_4,xsMLV157,0,32,0,0.0,1.0,0.0,-1.199,-48.299
belem_5,xsRDP017,0,32,0,0.0,1.0,0.0,-4.715,-48.279
belem_6,xsREBIO002,0,0,32,0.0,0.0,1.0,-3.643,-46.711
belem_7,xsTP32151,0,32,0,0.0,1.0,0.0,-1.562,-47.131
belem_8,xsTP37350,0,18,14,0.0,0.562,0.438,-4.712,-46.354
belem_9,xsTP38597,0,32,0,0.0,1.0,0.0,-2.949,-45.887
tapajos_1,xsA08267,32,0,0,1.0,0.0,0.0,2,2
tapajos_10,xsTM005,32,0,0,1.0,0.0,0.0,-6.067,-55.317
tapajos_2,xsBR163-028,32,0,0,1.0,0.0,0.0,-8.39,-55.37
tapajos_3,xsBR163-145,32,0,0,1.0,0.0,0.0,-7.191,-55.495
tapajos_4,xsBR163-212,32,0,0,1.0,0.0,0.0,-6.202,-55.688
tapajos_5,xsMPDS1217,32,0,0,1.0,0.0,0.0,-6.519,-57.445
tapajos_6,xsMPDS1294,32,0,0,1.0,0.0,0.0,-6.353,-57.307
tapajos_7,xsMSF111,30,0,2,0.938,0.0,0.062,-9.262,-54.471
tapajos_8,xsPIME217,30,0,2,0.938,0.0,0.062,-4.609,-55.497
tapajos_9,xsSER013,32,0,0,1.0,0.0,0.0,-6.802,-56.498
xingu_1,xsCOUFT0424,27,5,0,0.844,0.156,0.0,-6.746,-48.16
xingu_10,xsTP36276,23,9,0,0.719,0.281,0.0,-3.785,-49.782
xingu_11,xsTP48649,11,21,0,0.344,0.656,0.0,-9.756,-50.537
xingu_12,xsTP81164,12,20,0,0.375,0.625,0.0,-6.19,-48.191
xingu_13,xsUHE455,2,10,20,0.062,0.312,0.625,-3.53,-51.733
xingu_2,xsFTA012,0,32,0,0.0,1.0,0.0,-5.949,-50.65
xingu_3,xsGAPTO037,19,9,4,0.594,0.281,0.125,-7.624,-49.381
xingu_4,xsGAPTO271,0,32,0,0.0,1.0,0.0,-7.624,-49.381
xingu_5,xsGAPX047,1,9,22,0.031,0.281,0.688,-6.514,-51.244
xingu_6,xsMAYA066,11,21,0,0.344,0.656,0.0,-1.563,-50.39
xingu_7,xsMOP011,11,21,0,0.344,0.656,0.0,-6.633,-50.984
xingu_8,xsMRJ498,10,8,14,0.312,0.25,0.438,-2.016,-50.717
xingu_9,xsTP36025,12,20,0,0.375,0.625,0.0,-4.596,-49.561
