population,individual,alternate_allele_count,reference_allele_count,missing_allele_count,alternate_allele_frequency,reference_allele_frequency,missing_allele_frequency,alternate_percentage_of_non_missing_alleles,latitude,longitude
belem_1,xsFRC041,0,28,0,0.0,1.0,0.0,0.0,-3.704,-48.563
belem_10,xsTP51965,0,28,0,0.0,1.0,0.0,0.0,-2.835,-47.915
belem_2,xsGUR156,0,28,0,0.0,1.0,0.0,0.0,-3.704,-46.762
belem_3,xsLCA23,0,28,0,0.0,1.0,0.0,0.0,-1.75,-48.8
belem_4,xsMLV157,0,28,0,0.0,1.0,0.0,0.0,-1.199,-48.299
belem_5,xsRDP017,0,28,0,0.0,1.0,0.0,0.0,-4.715,-48.279
belem_6,xsREBIO002,0,8,20,0.0,0.286,0.714,0.0,-3.643,-46.711
belem_7,xsTP32151,0,28,0,0.0,1.0,0.0,0.0,-1.562,-47.131
belem_8,xsTP37350,0,14,14,0.0,0.5,0.5,0.0,-4.712,-46.354
belem_9,xsTP38597,0,28,0,0.0,1.0,0.0,0.0,-2.949,-45.887
tapajos_1,xsA08267,28,0,0,1.0,0.0,0.0,100.0,2,2
tapajos_10,xsTM005,28,0,0,1.0,0.0,0.0,100.0,-6.067,-55.317
tapajos_2,xsBR163-028,28,0,0,1.0,0.0,0.0,100.0,-8.39,-55.37
tapajos_3,xsBR163-145,28,0,0,1.0,0.0,0.0,100.0,-7.191,-55.495
tapajos_4,xsBR163-212,28,0,0,1.0,0.0,0.0,100.0,-6.202,-55.688
tapajos_5,xsMPDS1217,28,0,0,1.0,0.0,0.0,100.0,-6.519,-57.445
tapajos_6,xsMPDS1294,28,0,0,1.0,0.0,0.0,100.0,-6.353,-57.307
tapajos_7,xsMSF111,26,0,2,0.929,0.0,0.071,100.0,-9.262,-54.471
tapajos_8,xsPIME217,26,0,2,0.929,0.0,0.071,100.0,-4.609,-55.497
tapajos_9,xsSER013,28,0,0,1.0,0.0,0.0,100.0,-6.802,-56.498
xingu_1,xsCOUFT0424,27,1,0,0.964,0.036,0.0,96.4,-6.746,-48.16
xingu_10,xsTP36276,23,5,0,0.821,0.179,0.0,82.1,-3.785,-49.782
xingu_11,xsTP48649,11,17,0,0.393,0.607,0.0,39.3,-9.756,-50.537
xingu_12,xsTP81164,12,16,0,0.429,0.571,0.0,42.9,-6.19,-48.191
xingu_13,xsUHE455,2,6,20,0.071,0.214,0.714,25.0,-3.53,-51.733
xingu_2,xsFTA012,0,28,0,0.0,1.0,0.0,0.0,-5.949,-50.65
xingu_3,xsGAPTO037,19,5,4,0.679,0.179,0.143,79.2,-7.624,-49.381
xingu_4,xsGAPTO271,0,28,0,0.0,1.0,0.0,0.0,-7.624,-49.381
xingu_5,xsGAPX047,1,5,22,0.036,0.179,0.786,16.7,-6.514,-51.244
xingu_6,xsMAYA066,11,17,0,0.393,0.607,0.0,39.3,-1.563,-50.39
xingu_7,xsMOP011,11,17,0,0.393,0.607,0.0,39.3,-6.633,-50.984
xingu_8,xsMRJ498,10,4,14,0.357,0.143,0.5,71.4,-2.016,-50.717
xingu_9,xsTP36025,12,16,0,0.429,0.571,0.0,42.9,-4.596,-49.561
